date,count_American,count_Carmel,count_Diplo,count_Federal,count_Firstclass,count_Highclass,count_Prestige,count_Skyline,count_Uber,Total,maxtempC,avgtempC,uvIndex,precipMM,cloudcover,humidity,weatherDesc,Weekday
2014-07-26,1188,2208,1324,4,1846,1785,3902,463,27708,40428,26.0,24.0,5.0,2.6,23.0,80.0,Patchy rain possible,Saturday
2014-07-27,1082,2320,1269,2,1675,1738,3882,525,22590,35083,29.0,26.0,6.0,14.3,52.0,85.0,Moderate or heavy rain shower,Sunday
2014-07-28,828,3056,961,2,1860,1457,3119,1651,23981,36915,26.0,24.0,5.0,9.3,36.0,81.0,Moderate or heavy rain shower,Monday
2014-07-29,782,2835,872,3,1699,1400,2962,1837,27589,39979,24.0,21.0,6.0,0.2,21.0,69.0,Partly cloudy,Tuesday
2014-07-30,825,2853,910,1,1744,1358,2923,1896,30740,43250,25.0,23.0,6.0,0.0,16.0,67.0,Partly cloudy,Wednesday
2014-07-31,873,3287,929,3,1871,1457,3094,1961,33541,47016,26.0,23.0,5.0,4.0,12.0,75.0,Patchy rain possible,Thursday
2014-08-01,1213,2947,1218,3,2046,1937,3801,1359,32353,46877,27.0,24.0,5.0,9.0,24.0,82.0,Light rain shower,Friday
2014-08-02,1328,2257,1343,8,1919,2005,4297,489,28678,42324,22.0,21.0,5.0,16.3,55.0,88.0,Heavy rain at times,Saturday
2014-08-03,1128,2401,1313,4,1666,1977,3896,481,23146,36012,23.0,21.0,5.0,2.0,58.0,90.0,Patchy light rain,Sunday
2014-08-04,884,3088,989,3,1807,1581,3300,1683,24952,38287,28.0,25.0,5.0,4.1,35.0,84.0,Patchy rain possible,Monday
2014-08-05,895,2759,944,2,1721,1420,3204,1781,28094,40820,30.0,26.0,7.0,0.0,11.0,74.0,Sunny,Tuesday
2014-08-06,871,2884,870,0,1794,1443,3038,1976,30495,43371,27.0,24.0,5.0,0.8,13.0,74.0,Patchy rain possible,Wednesday
2014-08-07,911,3126,973,1,1787,1511,3234,1990,32759,46292,26.0,23.0,5.0,0.6,10.0,65.0,Patchy rain possible,Thursday
2014-08-08,1106,3040,1050,8,2046,1722,3771,1497,30411,44651,29.0,25.0,6.0,0.0,10.0,64.0,Sunny,Friday
2014-08-09,1296,2249,1343,1,1808,1983,4162,441,26286,39569,29.0,25.0,6.0,0.0,20.0,67.0,Partly cloudy,Saturday
2014-08-10,1155,2399,1233,3,1771,1897,3961,492,20584,33495,29.0,26.0,7.0,0.0,20.0,65.0,Sunny,Sunday
